Route,Baseline %,MC Median %,MC 5th pct %,MC 95th pct %,P(safest route) %
R10,1.5432372758548474,1.4964250314872307,0.7698926842396497,2.701680156462025,66.42
R1,1.6078405059105516,1.5794477713922728,0.8971389850790967,2.673096543313152,33.58
R7,1.7572436712334882,1.7262358531228872,0.9808319946981703,2.9200059429212137,0.0
R4,1.8900868409034932,1.8349706886746753,0.9637044531071193,3.282196680893357,0.0
R5,3.1380183676427253,3.0796512938105036,1.7341877591842032,5.212890859753017,0.0
R3,6.927317197123905,6.80193198229222,3.866409166098717,11.35415707473641,0.0
R8,7.137994282127725,7.008355432132928,3.983903273083244,11.691502715793794,0.0
R2,7.157936123946628,7.027993149489325,3.9954499935780676,11.723256219452434,0.0
R9,8.867591368489869,8.73572801589556,5.494609799845761,13.709974691125232,0.0
R11,15.005467513396297,14.77331255593597,9.422600136370054,22.768283783754867,0.0
R6,15.51573291472279,15.276412886567847,9.753993662187,23.503780885035788,0.0
