Ablation,Mean |delta| (pp),Max |delta| (pp),Mean |% change|,Max |% change|,Spearman rank corr. vs. full model,Best route (full model),Best route (this ablation),Best route changed?
A1: No geometry (flat r),5.120420983824086,15.269879511529304,95.45785733529765,234.75501686095623,-0.5727272727272729,R10,R11,True
A2: No mode-specific coef.,2.45679020267698,8.779322119487798,38.37830117806241,75.56734271047443,0.690909090909091,R10,R1,True
A3: No activity dependence,2.200984361503221,5.846805420560575,53.13928342697832,96.75818459684409,0.9181818181818183,R10,R1,True
A4: Additive composition,0.0290109254780528,0.21617176389892023,0.4724269007134135,2.437773177810896,1.0,R10,R10,False
