Scenario,Mean delta risk (pp),Max |delta risk| (pp),Mean % change,Max |% change|
Prevalence -30%,-1.8516718174562674,4.38325864197162,-29.29462136155679,29.83686675189281
Prevalence +30%,1.7931634466352697,4.167060923342802,28.718047317909306,29.6979779447267
Inhalation rate -20%,-0.8610349102412349,2.074536524022008,-23.115691112794753,41.81318931224386
Inhalation rate +20%,0.8468595401573882,2.0291945946718233,22.843605221865396,41.54093378696334
Interpersonal dist. -15%,2.2855646041173965,5.29766953129549,36.66612878902939,37.99680203627594
Interpersonal dist. +15%,-1.5005803170887193,3.5459992404136766,-23.76753901073571,24.242435843270897
Occupancy -25%,-1.5388959742738366,3.6372328249595895,-24.371341816235205,24.854383042585102
Occupancy +25% (rush-hour),1.4982670190228915,3.487105300616058,23.970956610196932,24.757932535517906
