Route,Baseline %,Prevalence -30%,Prevalence -30% (delta pp),Prevalence +30%,Prevalence +30% (delta pp),Inhalation rate -20%,Inhalation rate -20% (delta pp),Inhalation rate +20%,Inhalation rate +20% (delta pp),Interpersonal dist. -15%,Interpersonal dist. -15% (delta pp),Interpersonal dist. +15%,Interpersonal dist. +15% (delta pp),Occupancy -25%,Occupancy -25% (delta pp),Occupancy +25% (rush-hour),Occupancy +25% (rush-hour) (delta pp)
R1,1.6078405059105516,1.1282218516290632,-0.4796186542814884,2.0851325705641077,0.4772920646535561,1.160478269435028,-0.44736223647552364,2.0531779149979945,0.4453374090874429,2.218490584197319,0.6106500782867674,1.2181578355077827,-0.38968267040276894,1.2083203433475131,-0.39952016256303846,2.0057449822047713,0.39790447629421966
R2,7.157936123946628,5.066093926326709,-2.0918421976199193,9.203685160959141,2.045749037012513,5.08339959992462,-2.074536524022008,9.187130718618452,2.0291945946718233,9.76893040044664,2.610994276500012,5.461126212636658,-1.6968099113099706,5.417978993266715,-1.7399571306799135,8.865884519939138,1.70794839599251
R3,6.927317197123905,4.90108483328987,-2.026232363834035,8.910377484966858,1.983060287842953,4.920606583936826,-2.006710613187079,8.89167491616224,1.9643577190383343,9.458563477096959,2.531246279973054,5.283611854881443,-1.6437053422424626,5.241827923845232,-1.685489273278673,8.582826216160733,1.6555090190368276
R4,1.8900868409034932,1.3268428989349323,-0.5632439419685609,2.4501156862086093,0.5600288453051161,1.1399731524089352,-0.7501136884945581,2.6345089413658873,0.7444221004623941,2.606504453874736,0.716417612971243,1.4324968910967129,-0.45758994980678036,1.420940941869342,-0.46914589903415127,2.3570000357843957,0.46691319488090244
R5,3.1380183676427253,2.20709556280666,-0.9309228048360652,4.060079412276963,0.9220610446342374,2.213192442615264,-0.9248259250274615,4.054097683460178,0.9160793158174525,4.316933329311345,1.1789149616686196,2.381991568481978,-0.7560267991607472,2.362868367951798,-0.7751499996909272,3.90701438152955,0.7689960138868246
R6,15.51573291472279,11.13247427275117,-4.38325864197162,19.682793838065592,4.167060923342802,15.51573291472279,0.0,15.51573291472279,0.0,20.81340244601828,5.29766953129549,11.969733674309113,-3.5459992404136766,11.8785000897632,-3.6372328249595895,19.002838215338848,3.487105300616058
R7,1.7572436712334882,1.2333378120627736,-0.5239058591707146,2.2783704818549078,0.5211268106214195,1.2685802214528752,-0.48866344978061305,2.2434885194414056,0.48624484820791736,2.4239336519830457,0.6666899807495574,1.3315965236744942,-0.425647147558994,1.320849072700614,-0.4363945985328743,2.1917083763305256,0.4344647050970374
R8,7.137994282127725,5.051820577496835,-2.0861737046308892,9.178331186597067,2.040336904469342,5.068718423170426,-2.0692758589572984,9.16216485535265,2.024170573224925,9.7421043554907,2.6041100733629747,5.445772130785265,-1.6922221513424596,5.402742722768394,-1.7352515593593303,8.841415130312914,1.7034208481851891
R9,8.867591368489869,6.293224423554267,-2.574366944935602,11.371233810032733,2.5036424415428638,8.80297237547113,-0.06461899301873864,8.93216457477225,0.06457320628238072,12.06052393148317,3.1929325629933007,6.780476207733521,-2.0871151607563476,6.727281100951499,-2.1403102675383696,10.95878836801798,2.091196999528112
R10,1.5432372758548474,1.0827836261924961,-0.46045364966235125,2.001547541673021,0.4583102658181737,0.8979605521645451,-0.6452767236903023,2.1843124507934464,0.641075174938599,2.1296180885114313,0.5863808126565839,1.1691189693462944,-0.37411830650855293,1.159675172057928,-0.38356210379691946,1.9253109194739548,0.38207364361910745
R11,15.005467513396297,10.757096284288604,-4.248371229107693,19.05159680114129,4.046129287744993,15.005467513396297,0.0,15.005467513396297,0.0,20.15067198823005,5.145204474833754,11.568000704923143,-3.437466808473154,11.479625615817879,-3.5258418975784185,18.390872125511315,3.3854046121150176
