R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11
1.5462392040711537,6.829169808477776,6.610142368825722,1.7041513458089463,2.9901373272541276,16.978579927259652,1.6899675808453751,6.809930174249068,9.707524186755833,1.3749145632889315,16.425031136384693
2.4506407139538666,10.86653949105706,10.520703795911091,3.1053093606212,4.819890252798931,18.913318710446493,2.677286153157288,10.837231616086228,10.969404925576542,2.5708250719426617,18.303899261422007
1.2883696497934083,5.837853885504407,5.646927460396666,1.6403766145665521,2.5500406070124826,10.279431634374658,1.4082999507601834,5.821673725307031,5.836274892113636,1.3569647273910856,9.931186003102576
1.0609802751006092,4.665988408521004,4.516006146140161,1.060932670906889,2.029081004203792,13.942263133116683,1.1598681863312477,4.6525138083895134,7.88248430215468,0.838833821535856,13.479533522495501
2.1740746155422874,9.594021460250923,9.288631205416575,2.578794604205159,4.237522326923671,20.024791244758646,2.375454722752801,9.567687571673922,11.586161897410808,2.110415186328596,19.383997025879996
0.8877237358564605,3.9374036481106045,3.8098812048578345,0.9262551232535721,1.7088388972570256,11.081777198011988,0.9705427167085445,3.9260533172136403,6.229000959767584,0.7387327661339871,10.708003822093481
1.510407084085097,6.7073166302838105,6.491338868154073,1.7234519041045782,2.9361166381212334,15.57738308289286,1.6508327458496175,6.688501730731556,8.889133904459612,1.3994838215973915,15.06527572380164
1.6388880061570577,7.326526487210194,7.089921254843789,1.9896734973658514,3.214000188250754,14.66078430649247,1.7911498093630684,7.306233242806104,8.379215176536869,1.6337355231719974,14.176222866812594
1.260582128442711,5.685222079424412,5.49978972680214,1.5514736043266253,2.481871629202703,11.077299325101785,1.3779438744390915,5.669367487162546,6.281679851872768,1.276246793150826,10.703667726343735
1.4133913201970327,6.383293687810165,6.175262682539728,1.787427882181325,2.792769523401306,11.446699889114576,1.5448681552072796,6.365634936836361,6.513073537573133,1.4772407060130166,11.06139868454894
1.3139730144083428,5.840659892729505,5.6520671690804765,1.4726481922503254,2.549918221301728,14.171680052797509,1.436269267476975,5.824156516935675,8.050913681021587,1.1915767133907518,13.70195708959583
2.298573654914693,10.215433598148039,9.889263868722898,2.903725165451243,4.5218759680785485,18.005577381122972,2.5113371220649494,10.187765286187489,10.41505310874593,2.402244418780397,17.4221742671407
1.058041513277741,4.802948380947958,4.64527842923832,1.3270823867636672,2.0913947979791625,8.905735751795419,1.1566571237270673,4.789530609500591,5.032070202065542,1.094796364380357,8.601770850090007
1.3561574755313721,5.942881303661707,5.7528959896759435,1.373081768488682,2.594317227724441,17.191725676323742,1.4823504204717453,5.92586290888657,9.804605248543208,1.0888557245557706,16.631944433880907
1.669828743331614,7.489802336732387,7.247489422195086,2.080621258055426,3.2876165157813886,13.949915859323314,1.8249383562532473,7.469159121459912,7.97567284838363,1.7159600197637737,13.486952627701942
1.7022849986590982,7.472285425940006,7.234010887962694,1.8293989705432168,3.277759921894219,19.333852313799394,1.860380839611564,7.4512334754166965,11.11098056400326,1.46902919068852,18.712499419910642
2.278086081328934,10.07331824890867,9.752641527404581,2.775151977851853,4.456309518178969,19.640061838728883,2.4889774169932877,10.045856051121726,11.373296011648637,2.281921603597026,19.010067510451588
1.2970921518824063,5.705863979132575,5.522869825123456,1.3422253483439284,2.4892899514178612,15.994823689071458,1.4178285569818816,5.689550713725189,9.10003360322481,1.069163240377713,15.47028531429504
1.8697277496670939,8.386393603699638,8.115698339570043,2.3851227517030393,3.6915948653552633,14.487284990472094,2.043212189482102,8.36347962053894,8.3131416524445,1.9751917017700182,14.00797610253096
1.6751804317490349,7.546858369548037,7.302029844300828,2.149273250706485,3.313657686787752,12.854871768793185,1.8307825171678394,7.526161197637194,7.3509435905473435,1.7810540646443607,12.425576346119538
2.076958570761811,9.168152369118875,8.875938610128697,2.4390445313404507,4.043953222606178,19.638372889991608,2.2694477786291745,9.14288896721529,11.343821275088006,1.9922698976663655,19.008426114034737
1.8536557467394355,8.273631055477681,8.007360213973492,2.2850643753881794,3.6401645230265234,15.805782235807719,2.025664379033465,8.250887958751585,9.070882708782936,1.881666604606369,15.286864466423822
1.3539278436300317,6.097142978949533,5.89867262438859,1.6684119540323783,2.6649881771622086,11.810719674418646,1.4799148777243087,6.0801806233113815,6.710356846176236,1.3728908125554384,11.413970986083498
1.2889381711025494,5.8309249771958065,5.640425397023607,1.6239930859932694,2.5468442318391182,10.606610820352058,1.4089210152901321,5.814736438873124,6.020470008301304,1.3411342244081026,10.247925442552663
1.4943701552442512,6.751364546796257,6.531491907601317,1.9120225484224984,2.957226013665515,11.64886773092666,1.6333172301956633,6.732759736676885,6.639460329179525,1.583364450719149,11.257202464396276
1.3776513227355291,6.092118538185942,5.896214657762089,1.499095248569171,2.6613888290567433,15.610116629916948,1.5058290016046083,6.07485594658701,8.888886532790618,1.2062713076472997,15.097031905596292
1.7757300967932044,7.8917890120228655,7.638286489514101,2.1059062649358307,3.467563952330499,16.672715494156897,1.940579407492593,7.869920082812909,9.562452615973038,1.7224870965540817,16.12814341187948
0.9430705500819259,4.278951187037849,4.1383491614049746,1.1633032174585445,1.86020638663571,8.353751434421397,1.0310261272387877,4.266932674596191,4.7069320823432514,0.9568993058643782,8.067781834757993
1.152671445018627,5.05531786885931,4.893277245858885,1.1421082319958864,2.200852266110964,15.245216260440209,1.2600508145614642,5.0407317242524785,8.645526751099464,0.9013243045949859,14.74305165109211
